N-gram,TF,DF
分利,109.0,81.0
眾多,109.0,99.0
集體,109.0,89.0
重要性,109.0,92.0
街口布蘭特,109.0,102.0
節目,109.0,84.0
加徵關稅,109.0,70.0
童子賢,108.0,30.0
國家隊,108.0,77.0
軍演,108.0,43.0
下方,108.0,102.0
亞德,108.0,85.0
特定法人,108.0,107.0
晶圓代工業,108.0,69.0
成員,108.0,83.0
中國高股息,107.0,105.0
輕鬆,107.0,93.0
新晶片,107.0,88.0
三陽工業,107.0,101.0
創波段新,107.0,88.0
權籌碼,107.0,104.0
蘋果新機,107.0,93.0
急單,107.0,78.0
國設廠,107.0,88.0
高檔區,107.0,90.0
選擇權籌碼,106.0,103.0
德州儀器,106.0,94.0
充電,106.0,69.0
永豐期貨,105.0,103.0
空軍,105.0,87.0
加權股價指數,105.0,78.0
符合市場,104.0,95.0
水資源,104.0,61.0
買權最大,104.0,61.0
駕駛,104.0,64.0
逆勢走,104.0,94.0
測季線,104.0,79.0
指數上揚,104.0,93.0
電子業,104.0,88.0
稅後淨利,104.0,75.0
甲骨文,103.0,91.0
售屋,103.0,42.0
買盤進駐,103.0,98.0
回台,103.0,92.0
新技術,103.0,89.0
總額,103.0,65.0
短線操作,102.0,87.0
房子,102.0,55.0
歷年同期,102.0,89.0
美元匯率,102.0,83.0
借券,102.0,96.0
強勢族群,102.0,95.0
個人消費,102.0,96.0
嘗試,102.0,84.0
停鎖死,102.0,80.0
獨立董事,101.0,20.0
利高,101.0,98.0
收獲,101.0,93.0
密度,101.0,66.0
電視,101.0,81.0
搶攻,101.0,88.0
堆疊,101.0,50.0
新興市場,100.0,64.0
平均值,100.0,64.0
航運類,100.0,88.0
公開發行,100.0,83.0
台股成交,100.0,93.0
川普當選,100.0,79.0
飯店,100.0,58.0
求救,100.0,99.0
挫收,100.0,76.0
中芯國際,100.0,39.0
轉盈,100.0,77.0
設備商,100.0,68.0
營收獲利,100.0,92.0
愛山林,100.0,54.0
數增,99.0,88.0
年平均,99.0,76.0
邊緣運算,99.0,68.0
憂心,99.0,92.0
轉單,99.0,69.0
做多,99.0,83.0
尾聲,99.0,86.0
電訪,99.0,96.0
裕隆,99.0,94.0
降息循環,99.0,90.0
聯準會利率,98.0,79.0
邁進,98.0,92.0
表現較佳,98.0,89.0
代碼,98.0,28.0
消費支出,98.0,90.0
季配息,98.0,57.0
金融業,97.0,70.0
公司名稱,97.0,78.0
台積電設廠,97.0,84.0
台指期貨,97.0,83.0
亞德客,97.0,75.0
瑞信,97.0,53.0
台股基本面,97.0,82.0
預售屋,97.0,37.0
台積電目標價,97.0,63.0
電話,97.0,77.0
台玻,97.0,83.0
回測季線,97.0,74.0
選擇權籌碼面,96.0,94.0
吸引買盤,96.0,88.0
自研晶片,96.0,60.0
中國市場,96.0,70.0
落實,96.0,84.0
台灣廠,96.0,71.0
核電,96.0,39.0
製程出貨,96.0,39.0
新台幣匯率,96.0,79.0
大科技,96.0,66.0
放款,96.0,43.0
盪加,96.0,90.0
臨時,96.0,78.0
相對高,96.0,89.0
看多,95.0,85.0
估價,95.0,21.0
行為,95.0,84.0
航運族群,95.0,83.0
息動能,95.0,89.0
南港,95.0,79.0
選擇權未平倉量,95.0,95.0
逆價差,95.0,63.0
間內,95.0,80.0
職位,95.0,59.0
指數開低,95.0,89.0
中磊,95.0,91.0
信義,95.0,36.0
行情可,95.0,91.0
產業分析,95.0,84.0
主要受惠,95.0,90.0
追價意願,95.0,82.0
未來走勢,95.0,93.0
年代,95.0,74.0
緩慢,95.0,83.0
車廠,94.0,55.0
未平倉量部分,94.0,94.0
汽車零組件,94.0,80.0
稅前,94.0,64.0
下盤,94.0,92.0
碳權,94.0,56.0
信託,94.0,58.0
中秋,94.0,59.0
經濟成長率,94.0,64.0
表現最差,94.0,57.0
樂觀看待,93.0,88.0
體驗,93.0,73.0
續抱,93.0,60.0
台灣加權,93.0,83.0
統一台灣,93.0,87.0
颱風假,93.0,70.0
捷克,93.0,19.0
觀望氣氛濃,93.0,79.0
公布最新,93.0,85.0
電子類股指數,93.0,88.0
震撼,93.0,91.0
科技股為主,92.0,91.0
休市期間,92.0,72.0
介面,92.0,74.0
生物,92.0,47.0
面板廠,92.0,56.0
帳戶,92.0,59.0
成大,92.0,73.0
個人消費支出,92.0,87.0
盤中最低,92.0,84.0
採用奈米,92.0,74.0
博士,92.0,60.0
董事長陳奕光,91.0,90.0
台股重挫,91.0,84.0
橡膠,91.0,82.0
售額,91.0,59.0
教授,91.0,63.0
大爆發,90.0,83.0
具題材,90.0,82.0
首席,90.0,77.0
相對弱,90.0,87.0
等級,90.0,73.0
成交額,90.0,47.0
高息動能,90.0,84.0
叩關,89.0,72.0
借券賣出,89.0,88.0
收保護費,89.0,76.0
承受,89.0,76.0
認購,89.0,48.0
矽谷,89.0,61.0
持續擴大,89.0,86.0
前月營收,89.0,78.0
劉鏡清,89.0,20.0
賣出金額,89.0,88.0
眾議,89.0,70.0
觸底,89.0,84.0
任務,89.0,67.0
加重,88.0,76.0
發言人黃仁昭,88.0,85.0
產業分析師,88.0,77.0
辦公室,88.0,77.0
重貶,88.0,54.0
緯創技嘉,88.0,84.0
